MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2011,11196,9.1,29,221.187,229.25799999999998
2,February,2011,12562,9.0,29,221.898,232.06799999999998
3,March,2011,16082,9.0,29,223.046,240.079
4,April,2011,15586,9.1,27,224.093,247.977
5,May,2011,8624,9.0,28,224.80599999999998,250.74400000000003
6,June,2011,9105,9.1,28,224.80599999999998,245.53400000000002
7,July,2011,8814,9.0,31,225.395,246.187
8,August,2011,6502,9.0,28,226.106,246.88
9,September,2011,7649,9.0,27,226.597,248.55
10,October,2011,10680,8.8,28,226.75,246.655
11,November,2011,11330,8.6,27,227.169,247.64
12,December,2011,14107,8.5,26,227.22299999999998,243.35299999999998
