Category: All categories

City,Toyota RAV4: (1/1/11 - 1/1/20)
Providence,
Hyattsville,
Yonkers,100
Lake Forest Park,
Newark,
San Jose,85
Buffalo,
Aurora,
Saint Paul,
Virginia Beach,
Hialeah,
Oakland,
Sacramento,
Irving,
Honolulu,
Boston,71
Arlington,
Long Beach,
Madison,
Tulsa,
Raleigh,
Milwaukee,
Newton,
Durham,
Omaha,
Houston,62
Portland,62
Colorado Springs,
New York,60
Alexandria,
San Diego,59
Pittsburgh,
Philadelphia,59
Los Angeles,59
Miami,
Minneapolis,
Plano,56
Jacksonville,
Phoenix,56
Chicago,55
Charlotte,54
El Paso,
Seattle,52
Denver,52
Columbus,
Louisville,
Oklahoma City,
Fort Worth,
Nashville,
Tampa,
Kansas City,
Salt Lake City,
Washington,50
Indianapolis,
Baltimore,
Albuquerque,
San Francisco,49
Orlando,
San Antonio,48
Birmingham,
Austin,45
Atlanta,45
Las Vegas,
Dallas,44
St. Louis,
New Orleans,
Detroit,
