Month,Cancelled,Airline,Destination,DayOfWeek,ScheduledDepartureHour,ScheduledTime
January,0,US,CLT,Thursday,00,286
January,0,DL,MSP,Thursday,00,217
January,0,AA,DFW,Thursday,00,195
January,0,UA,IAH,Thursday,00,218
January,0,UA,DEN,Thursday,05,146
January,0,WN,DEN,Thursday,05,150
January,0,WN,ATL,Thursday,06,280
January,0,UA,ORD,Thursday,06,257
January,0,UA,LAX,Thursday,06,88
January,0,US,PHX,Thursday,06,114
January,1,AA,DFW,Thursday,06,210
January,0,F9,IAH,Thursday,06,225
January,0,UA,EWR,Thursday,06,331
January,0,B6,LGB,Thursday,06,81
January,0,DL,SLC,Thursday,06,109
January,0,UA,IAH,Thursday,06,233
January,0,DL,ATL,Thursday,06,270
January,0,UA,EWR,Thursday,06,329
January,0,DL,JFK,Thursday,06,325
January,0,OO,SAN,Thursday,06,92
January,0,DL,MSP,Thursday,06,228
January,0,VX,LAX,Thursday,06,80
January,0,B6,JFK,Thursday,06,322
January,0,UA,EWR,Thursday,07,326
January,0,UA,IAH,Thursday,07,232
January,0,AA,MIA,Thursday,07,324
January,0,AS,SEA,Thursday,07,120
January,0,DL,DTW,Thursday,07,273
January,0,OO,BOI,Thursday,07,102
January,0,VX,JFK,Thursday,07,329
January,0,AA,DFW,Thursday,07,210
January,0,US,CLT,Thursday,07,292
January,0,OO,SBP,Thursday,07,69
January,0,UA,ORD,Thursday,07,257
January,0,WN,LAS,Thursday,07,90
January,0,AA,JFK,Thursday,07,340
January,0,AA,LAX,Thursday,07,85
January,0,OO,SMF,Thursday,07,48
January,0,DL,ATL,Thursday,07,271
January,0,UA,IAD,Thursday,07,299
January,0,VX,EWR,Thursday,08,330
January,0,VX,LAX,Thursday,08,80
January,0,VX,DCA,Thursday,08,300
January,0,B6,BOS,Thursday,08,329
January,0,UA,DEN,Thursday,08,153
January,0,UA,HNL,Thursday,08,334
January,0,OO,EUG,Thursday,08,95
January,0,OO,SNA,Thursday,08,92
January,0,AA,DFW,Thursday,08,210
January,0,VX,FLL,Thursday,08,320
January,0,AA,ORD,Thursday,08,250
January,0,UA,EWR,Thursday,08,336
January,0,US,PHL,Thursday,08,317
January,0,UA,IAH,Thursday,08,230
January,0,DL,JFK,Thursday,08,325
January,0,OO,LAS,Thursday,08,96
January,0,OO,MFR,Thursday,08,107
January,0,UA,SEA,Thursday,08,133
January,0,OO,MMH,Thursday,08,65
January,0,OO,CEC,Thursday,08,94
January,0,OO,SBP,Thursday,08,68
January,0,OO,SBA,Thursday,08,84
January,0,OO,RNO,Thursday,08,61
January,0,OO,SLC,Thursday,08,112
January,0,OO,ASE,Thursday,08,135
January,0,UA,IAD,Thursday,08,299
January,0,UA,PDX,Thursday,08,112
January,0,HA,HNL,Thursday,08,330
January,0,US,CLT,Thursday,08,293
January,0,UA,LAX,Thursday,08,88
January,0,UA,JFK,Thursday,08,336
January,0,AA,JFK,Thursday,08,340
January,0,OO,ONT,Thursday,08,78
January,0,VX,LAS,Thursday,09,90
January,0,AA,LAX,Thursday,09,90
January,0,AS,PDX,Thursday,09,101
January,0,DL,MSP,Thursday,09,223
January,0,DL,ATL,Thursday,09,271
January,0,F9,DEN,Thursday,09,144
January,0,OO,PSP,Thursday,09,86
January,0,UA,LIH,Thursday,09,342
January,0,OO,BZN,Thursday,09,141
January,0,UA,HNL,Thursday,09,324
January,0,WN,LAX,Thursday,09,80
January,0,OO,SMF,Thursday,09,47
January,0,UA,PHX,Thursday,09,119
January,0,US,PHX,Thursday,09,113
January,0,UA,OGG,Thursday,09,320
January,0,UA,DEN,Thursday,09,152
January,0,VX,JFK,Thursday,09,339
January,0,VX,IAD,Thursday,09,300
January,0,AS,SEA,Thursday,09,125
January,0,AA,DFW,Thursday,09,210
January,0,VX,BOS,Thursday,09,335
January,0,OO,SNA,Thursday,09,92
January,0,UA,MCO,Thursday,09,310
January,0,UA,IAH,Thursday,09,230
January,0,UA,KOA,Thursday,09,326
January,0,HA,OGG,Thursday,09,325
January,0,UA,ORD,Thursday,09,256
January,0,WN,LAS,Thursday,09,85
January,0,UA,LAX,Thursday,09,94
January,0,UA,IAD,Thursday,10,305
January,0,VX,SAN,Thursday,10,90
January,0,WN,LAX,Thursday,10,80
January,0,AS,SEA,Thursday,10,122
January,0,OO,MRY,Thursday,10,44
January,0,F9,PHX,Thursday,10,115
January,0,OO,EUG,Thursday,10,95
January,0,UA,EWR,Thursday,10,336
January,0,B6,BOS,Thursday,10,332
January,0,VX,AUS,Thursday,10,205
January,0,UA,DFW,Thursday,10,214
January,0,OO,SBA,Thursday,10,83
January,0,OO,MCI,Thursday,10,215
January,0,OO,FAT,Thursday,10,66
January,0,OO,BOI,Thursday,10,96
January,0,UA,ORD,Thursday,10,262
January,0,UA,LAS,Thursday,10,96
January,0,UA,STL,Thursday,10,230
January,0,UA,MSP,Thursday,10,226
January,0,OO,OKC,Thursday,10,195
January,0,OO,RNO,Thursday,10,59
January,0,OO,TUS,Thursday,10,121
