Year,LogSalePrice,SqftLot,SqftAbove,SqftBasement,SqftLawn,Floors,Bedrooms,Bathrooms,Kitchens,Condition,Grade,OnlineGrade,YearsSince1900Built
2014,12.30998211,5650,1180,0,0,1,3,1,0,3,7,7,55
2014,13.19561384,7242,2170,400,0,2,3,2.25,1,3,7,7.1,51
2015,12.10071213,10000,770,0,3949,1,2,1,0,3,6,6.1,33
2014,13.31132948,5000,1050,910,0,1,4,3,0,5,7,9,65
2015,13.142166,8080,1680,0,2790,1,3,2,0,3,8,7.5,87
2014,14.0184514,101930,3890,1530,33352,1,4,4.5,0,3,11,8.6,101
2014,12.458775,6819,1715,0,3472,2,3,2.25,1,3,7,6.9,95
2015,12.58399525,9711,1060,0,2542,1,3,1.5,0,3,7,7.2,63
2015,12.34365831,7470,1050,730,5275,1,3,1,0,3,7,6.9,60
2015,12.6854076,6560,1890,0,5540,2,3,2.5,1,3,7,7,103
2015,13.40377584,9796,1860,1700,2410,1,3,2.5,0,3,8,7.4,65
2014,13.05622357,6000,860,300,4302,1,2,1,0,4,7,7.8,42
2014,12.64432758,19901,1430,0,3389,1.5,3,1,1,4,7,7.8,27
2014,12.89921983,9680,1370,0,0,1,3,1.75,0,4,7,7.6,77
2015,13.18063229,4850,1810,0,2254,1.5,5,2,1,3,7,6.8,0
2015,13.38472764,5000,1980,970,735,2,4,3,1,3,9,7.9,79
2014,12.88664104,14040,1890,0,2756,2,3,2,1,3,7,7,94
2014,13.09190417,4300,1600,0,0,1.5,4,1,1,4,7,8.1,16
2014,12.14950229,9850,1200,0,5232,1,2,1,0,4,7,7.6,21
2015,12.34583459,9774,1250,0,1605,1,3,1,0,4,7,7.9,69
2014,12.86099861,4980,860,760,3470,1,4,1.75,0,4,7,8.1,47
2014,14.50865774,44867,2330,720,12928,1,3,2.75,0,3,9,8,68
2014,12.56024446,6300,2270,0,2313,2,5,2.5,1,3,8,7.3,95
2014,12.43995829,9643,1070,0,124,1,2,1.5,0,3,7,6.8,85
2014,12.70381303,6500,2450,0,78,2,3,2.25,1,4,8,8.4,85
2014,12.35879373,4697,1710,0,446,1.5,3,2,1,5,6,8.4,41
2014,13.75043856,2691,1750,700,1384,2,3,1.75,1,3,8,7.4,15
2014,13.41054532,1581,1400,0,1581,1.5,3,1,1,5,8,9,9
2014,12.98997419,6380,790,730,928,1,3,1.75,0,3,7,7,48
2015,13.48561664,7173,2570,0,5796,2,4,2.5,1,3,8,7.3,105
2014,13.27164508,3980,2320,0,0,2,3,2.5,1,3,8,7.5,103
2014,12.54254488,1265,1190,0,1265,3,2,1.5,2,3,7,6.7,105
2014,13.44081711,5000,1510,820,3847,1.5,4,1.75,1,4,7,7.8,29
2014,13.19002203,3000,1090,0,0,1.5,3,1,1,4,8,8.3,29
2014,12.68385842,6659,1280,780,1918,1,4,2.75,0,3,7,7.1,81
2014,13.45310494,3060,1510,790,2326,1.5,3,2.5,1,3,8,7.7,30
2014,13.21767356,34848,930,730,11672,1,4,1,0,1,5,4.6,33
2014,13.36922346,6000,2360,0,1839,2,4,2,1,4,8,8.3,4
2015,12.3883942,8075,890,330,2215,1,4,1,0,2,7,6,69
2014,13.31298374,7553,2620,0,3655,2,4,2.5,1,3,8,7.5,96
2014,13.34550693,5520,2570,0,2450,2,4,2.5,1,3,9,7.9,100
2014,13.56061831,24186,2600,1620,9089,1,4,2.25,0,3,8,7.3,84
2014,13.66699895,5639,3595,0,3763,2,5,2.75,1,3,9,7.5,114
2014,13.43717412,2280,1570,0,0,2,3,1,1,3,7,6.8,22
2014,12.64109656,9656,920,360,4519,1,3,1,0,4,6,7.4,59
2014,13.09807068,13603,3160,0,6139,2,3,2.5,1,3,8,7.1,103
2015,12.25719343,8528,990,0,2317,1,3,1,0,3,6,6.7,66
2014,13.573439,13416,2290,0,3354,2,4,2.5,1,4,9,8.4,81
2015,13.01700286,5963,1250,0,616,1,3,1.75,0,4,7,7.9,53
2015,14.11561515,65005,2165,588,22990,1,3,2.5,0,5,9,9.4,53
2014,12.33710091,9199,1190,0,4561,1,3,1,0,3,7,6.9,55
2015,12.7512997,9134,1640,1510,2463,1,5,2.5,0,4,8,8.1,66
2014,13.30468493,4080,1000,410,4080,1,3,1.75,0,4,7,8,50
2015,13.27936713,8550,990,990,2666,1,2,1.75,0,3,7,7.2,81
2015,13.73212895,6000,2130,600,0,1.5,5,2.25,1,3,8,7.6,27
2014,13.69334292,5000,2830,0,1849,2,4,2.5,1,3,9,7.9,95
2014,12.58621995,4495,2250,0,3047,2,4,2.5,1,3,7,7,108
2015,12.61486554,4750,2420,0,181,2,3,2.5,1,3,8,7.3,103
2014,13.76526934,14342,3250,0,2950,2,5,3.25,1,4,8,8.4,68
2015,12.97154049,9976,1850,0,1344,2,4,3,1,3,8,7.5,91
2014,13.38472764,21235,1590,560,6646,1,3,2.25,0,4,8,8,59
2014,12.57418197,8400,1260,0,4664,1,3,1.75,0,3,7,6.9,54
2014,13.13231371,8690,2519,0,2861,2,3,1.75,1,5,8,9.3,73
2014,13.21585372,1044,1540,0,0,3,3,1.75,2,3,8,7.4,114
2014,12.95984445,6000,1110,550,0,1,3,2.25,0,3,7,7.2,79
2014,12.66862672,3809,1770,1000,3809,1.5,3,2.75,1,5,7,8.9,25
2014,13.79019275,11049,2720,0,1705,2,4,2.5,1,3,10,8.1,89
